ESP_V (kV),V1,V2,run,R,Dp1,Dp2,Mobility (m2/s/V)
11.0,5,500,1,2.08218,2.447685,63.02949098931892,3.3946601e-05
11.0,154,500,1,2.776017,13.852126,63.02949098931892,1.096821e-06
11.0,304,500,1,3.668181,19.59787,63.02949098931892,5.57415458e-07
11.0,454,500,1,67.845247,24.094931,63.02949098931892,3.73655492e-07
11.0,604,500,1,219.840313,27.9457,63.02949098931892,2.81014912e-07
11.0,753,500,1,230.912827,31.377293,63.02949098931892,2.25184752e-07
11.0,903,500,1,194.866143,34.509366,63.02949098931892,1.87861657e-07
11.0,1053,500,1,101.902396,37.423201,63.02949098931892,1.6115168e-07
11.0,1203,500,1,61.569709,40.156354,63.02949098931892,1.41091444e-07
11.0,1352,500,1,41.124513,42.744274,63.02949098931892,1.25472561e-07
11.0,1502,500,1,24.943861,45.211133,63.02949098931892,1.1296706e-07
11.0,1652,500,1,16.426703,47.574886,63.02949098931892,1.02728405e-07
11.0,1802,500,1,9.46982,49.844984,63.02949098931892,9.4191458e-08
11.0,1951,500,1,6.824908,52.045355,63.02949098931892,8.6964523e-08
11.0,2101,500,1,7.424631,54.172056,63.02949098931892,8.076755e-08
11.0,2251,500,1,4.368211,56.237026,63.02949098931892,7.5395006e-08
11.0,2401,500,1,6.505894,58.246453,63.02949098931892,7.0692631e-08
11.0,2550,500,1,5.270461,60.205577,63.02949098931892,6.6542392e-08
11.0,2700,500,1,4.631656,62.118885,63.02949098931892,6.2852437e-08
11.0,2850,500,1,3.934545,63.984939,63.02949098931892,5.9550217e-08
11.0,3000,500,1,3.922251,65.816925,63.02949098931892,5.6577669e-08
11.0,5,250,1,2.157584,2.447685,43.548602413525415,3.3946601e-05
11.0,154,250,1,2.261995,13.852126,43.548602413525415,1.096821e-06
11.0,304,250,1,3.660425,19.59787,43.548602413525415,5.57415458e-07
11.0,454,250,1,47.88256,24.094931,43.548602413525415,3.73655492e-07
11.0,604,250,1,40.711749,27.9457,43.548602413525415,2.81014912e-07
11.0,753,250,1,30.691937,31.377293,43.548602413525415,2.25184752e-07
11.0,903,250,1,15.119671,34.509366,43.548602413525415,1.87861657e-07
11.0,1053,250,1,8.851626,37.423201,43.548602413525415,1.6115168e-07
11.0,1203,250,1,6.034108,40.156354,43.548602413525415,1.41091444e-07
11.0,1352,250,1,6.39975,42.744274,43.548602413525415,1.25472561e-07
11.0,1502,250,1,8.279412,45.211133,43.548602413525415,1.1296706e-07
11.0,1652,250,1,6.614277,47.574886,43.548602413525415,1.02728405e-07
11.0,1802,250,1,5.611834,49.844984,43.548602413525415,9.4191458e-08
11.0,1951,250,1,4.863423,52.045355,43.548602413525415,8.6964523e-08
11.0,2101,250,1,3.648809,54.172056,43.548602413525415,8.076755e-08
11.0,2251,250,1,2.907726,56.237026,43.548602413525415,7.5395006e-08
11.0,2401,250,1,2.400302,58.246453,43.548602413525415,7.0692631e-08
11.0,2550,250,1,2.216046,60.205577,43.548602413525415,6.6542392e-08
11.0,2700,250,1,2.138731,62.118885,43.548602413525415,6.2852437e-08
