ESP_V (kV),V2,V1,R,Dp1,Dp2,Zp1,Zp2,z1_raw,z1_raw_error,N_deconv,f1,R_conv,z1
11.0,250,5,1.9963894999999998,2.447685,43.548602413525415,3.3967090393753065e-05,1.2362447540987813e-07,275,0.0008726194549765801,19.543570067504135,0.033426207918412665,1.7717400891275874e-29,1
11.0,250,154,2.1324195,13.852126,43.548602413525415,1.1028276101867882e-06,1.2362447540987813e-07,9,0.008879600410615926,28.771275826716693,0.04920874970847385,0.2586166898397204,3
11.0,250,304,3.3775145,19.59787,43.548602413525415,5.586692498972545e-07,1.2362447540987813e-07,5,0.10641918659750114,2.3664493362297683,0.0040474400157180564,0.1980284390077408,5
11.0,250,454,28.418321,24.094931,43.548602413525415,3.7408689860961534e-07,1.2362447540987813e-07,3,0.008590176219870786,0.7253521260321467,0.0012406009186176075,3.049666526426894,7
11.0,250,604,39.008371,27.9457,43.548602413525415,2.8118452312709494e-07,1.2362447540987813e-07,2,0.12068790959882802,1.984975249290834,0.0033949884881074783,0.1374568776263766,9
11.0,250,753,32.025389,31.377293,43.548602413525415,2.2554508893594335e-07,1.2362447540987813e-07,2,0.0962284835630505,0.6162015536527046,0.0010539160031100016,2.83478414260414e-28,11
11.0,250,903,12.7254015,34.509366,43.548602413525415,1.8807912731867702e-07,1.2362447540987813e-07,2,0.3146006914441362,1.375555852104318e-13,2.352672298715799e-16,0.004302040353669639,13
11.0,250,1053,8.4585945,37.423201,43.548602413525415,1.61287228840233e-07,1.2362447540987813e-07,1,0.23351355033738905,1.1721562691437993e-13,2.0047892493510628e-16,0.6398810294459277,15
11.0,250,1203,7.349918,40.156354,43.548602413525415,1.4117660180279745e-07,1.2362447540987813e-07,1,0.12432744639684605,4.0134253888908505e-14,6.864333949771247e-17,1.339803574794514,17
11.0,250,1352,6.724861499999999,42.744274,43.548602413525415,1.2561793784671993e-07,1.2362447540987813e-07,1,0.015869249815906893,2.1890243192334975e-13,3.7439823829743666e-16,2.033357221097996,19
